Place,Tournament,Name,Round_1,Round_2,Round_3,Payout
1,Portland,Simon Lizotte,1071,1052,1051,"$10,000"
2,Portland,Garrett Gurthie,1065,1052,1045,"$6,250"
3,Portland,Isaac Robinson,1078,1026,1038,"$4,150"
4,Portland,Gannon Buhr,1045,1006,1058,"$3,035"
5,Portland,Adam Hammes,1032,1039,1045,"$2,035"
6,Portland,Albert Tamm,1052,1013,1045,"$2,035"
7,Portland,Paul McBeth,1052,1032,1058,"$2,035"
8,Portland,Cole Redalen,1026,1052,1051,"$1,500"
9,Portland,Joel Freeman,1058,1058,1018,"$1,400"
10,Portland,Nathan Sexton,1013,1026,1038,"$1,300"
11,Portland,Ezra Aderhold,1045,986,1045,"$1,250"
12,Portland,Aaron Gossage,1026,1026,1051,"$1,150"
13,Portland,Calvin Heimburg,1026,1013,1058,"$1,150"
14,Portland,Chris Clemons,1013,1032,1032,"$1,150"
15,Portland,Andrew Presnell,1026,1026,1025,"$1,025"
16,Portland,Corey Ellis,1039,999,1038,"$1,025"
17,Portland,Linus Carlsson,1039,1019,1018,$880
18,Portland,Gavin Babcock,999,1032,1038,$880
19,Portland,Kyle Klein,1045,993,1045,$880
20,Portland,Max Regitnig,1013,1058,1018,$880
21,Portland,James Proctor,1045,1052,999,$725
22,Portland,Chandler Kramer,999,1026,1045,$725
23,Portland,Kevin Jones,1006,1032,1018,$725
24,Portland,Luke Samson,1039,1026,1038,$725
25,Portland,Scott Withers,1032,1013,1032,$725
