,Place,Name,Round_1,Round_2,Round_3,Round_4,Payout
0,1,Chris Dickerson,1041,1054,1054,1060,"$13,000"
1,2,Richard Wysocki,1054,1060,1047,1035,"$8,000"
2,3,Calvin Heimburg,1054,1041,1060,1035,"$6,000"
3,4,Corey Ellis,1060,1028,1047,1047,"$4,800"
4,5,Gannon Buhr,1035,1028,1035,1073,"$3,463"
5,6,Matthew Orum,1054,1028,1035,1054,"$3,463"
6,7,Emerson Keith,1022,1054,1028,1067,"$3,463"
7,8,Gavin Babcock,1028,1047,1060,1035,"$3,463"
8,9,Paul McBeth,1035,1054,983,1092,"$2,700"
9,10,Drew Gibson,1047,1028,1028,1047,"$2,500"
10,11,James Conrad,1054,1035,1028,1028,"$2,275"
11,12,Ezra Robinson,1041,1022,1035,1047,"$2,275"
12,13,Niklas Anttila,996,1035,1054,1054,"$2,050"
13,14,Eagle Wynne McMahon,1002,1041,1054,1035,"$1,770"
14,15,Ezra Aderhold,1041,1035,1035,1022,"$1,770"
15,16,Mason Ford,1041,1054,1015,1022,"$1,770"
16,17,Joel Freeman,1035,1015,1015,1067,"$1,770"
17,18,Chandler Fry,1041,1028,1041,1022,"$1,770"
18,19,Cale Leiviska,1035,1009,1035,1047,"$1,500"
19,20,Isaac Robinson,1035,1047,1009,1035,"$1,500"
20,21,Eric Oakley,1028,1041,1028,1028,"$1,500"
21,22,Gregg Barsby,1041,1035,1015,1028,"$1,320"
22,23,Evan Smith,1035,1028,1002,1054,"$1,320"
23,24,Kevin Jones,1035,1028,1035,1022,"$1,320"
24,25,Casey White,1060,1022,1028,1009,"$1,320"
