,Tournament,Name,Round_1,Round_2,Round_3,Round_4,Payout
0,Champions Cup,Chris Dickerson,1041,1054,1054,1060,"$13,000"
1,Champions Cup,Richard Wysocki,1054,1060,1047,1035,"$8,000"
2,Champions Cup,Calvin Heimburg,1054,1041,1060,1035,"$6,000"
3,Champions Cup,Corey Ellis,1060,1028,1047,1047,"$4,800"
4,Champions Cup,Gannon Buhr,1035,1028,1035,1073,"$3,463"
5,Champions Cup,Matthew Orum,1054,1028,1035,1054,"$3,463"
6,Champions Cup,Emerson Keith,1022,1054,1028,1067,"$3,463"
7,Champions Cup,Gavin Babcock,1028,1047,1060,1035,"$3,463"
8,Champions Cup,Paul McBeth,1035,1054,983,1092,"$2,700"
9,Champions Cup,Drew Gibson,1047,1028,1028,1047,"$2,500"
10,Champions Cup,James Conrad,1054,1035,1028,1028,"$2,275"
11,Champions Cup,Ezra Robinson,1041,1022,1035,1047,"$2,275"
12,Champions Cup,Niklas Anttila,996,1035,1054,1054,"$2,050"
13,Champions Cup,Eagle Wynne McMahon,1002,1041,1054,1035,"$1,770"
14,Champions Cup,Ezra Aderhold,1041,1035,1035,1022,"$1,770"
15,Champions Cup,Mason Ford,1041,1054,1015,1022,"$1,770"
16,Champions Cup,Joel Freeman,1035,1015,1015,1067,"$1,770"
17,Champions Cup,Chandler Fry,1041,1028,1041,1022,"$1,770"
18,Champions Cup,Cale Leiviska,1035,1009,1035,1047,"$1,500"
19,Champions Cup,Isaac Robinson,1035,1047,1009,1035,"$1,500"
20,Champions Cup,Eric Oakley,1028,1041,1028,1028,"$1,500"
21,Champions Cup,Gregg Barsby,1041,1035,1015,1028,"$1,320"
22,Champions Cup,Evan Smith,1035,1028,1002,1054,"$1,320"
23,Champions Cup,Kevin Jones,1035,1028,1035,1022,"$1,320"
24,Champions Cup,Casey White,1060,1022,1028,1009,"$1,320"
