,Place,Name,Round_1,Round_2,Round_3,Round_4,Payout
0,1,Richard Wysocki,1043,1060,1033,1044,"$8,600"
1,2,Simon Lizotte,1049,1022,1028,1050,"$5,100"
2,3,Logan Harpool,1020,1044,1042,1025,"$2,265"
3,4,Aaron Gossage,1032,1038,1024,1044,"$2,265"
4,5,Brodie Smith,1055,1038,1024,1018,"$2,265"
5,6,Väinö Mäkelä,1032,1033,1028,1044,"$2,265"
6,7,Jason Hebenheimer,1026,1044,1042,1018,"$2,265"
7,8,G.T. Hancock,1032,1028,1042,1025,"$1,375"
8,9,Chris Dickerson,1009,1028,1046,1044,"$1,375"
9,10,Calvin Heimburg,1014,1044,1028,1037,"$1,117"
10,11,Gannon Buhr,1049,1028,1024,1025,"$1,117"
11,12,James Conrad,1055,1028,1011,1037,"$1,117"
12,13,Bartosz Kowalewski,1009,1054,1015,1044,$925
13,14,Jeremy Koling,980,1044,1059,1025,$925
14,15,Kyle Klein,1003,1022,1042,1050,$925
15,16,Nathan Queen,1026,1017,1037,1037,$925
16,17,Bradley Williams,1037,1028,1024,1012,$755
17,18,Chris Clemons,1009,1049,1019,1025,$755
18,19,Kevin Jones,1043,1033,1006,1025,$755
19,20,Thomas Gilbert,1060,1028,993,1031,$755
20,21,Luke Samson,1032,1022,1019,1018,$680
21,22,Mason Ford,1037,1022,1011,1025,$680
22,23,Nathan Sexton,1032,1022,1019,1018,$680
23,24,Nolan Ramser,1055,1017,1019,993,$643
24,25,Anthony Barela,1014,1006,1019,1050,$643
