Place,Tournament,Name,Round_1,Round_2,Round_3,Payout
1,DGLO,Calvin Heimburg,1054,1054,1061,"$6,000"
2,DGLO,Corey Ellis,1068,1040,1061,"$4,500"
3,DGLO,Richard Wysocki,1040,1040,1068,"$3,500"
4,DGLO,Adam Hammes,1033,1047,1061,"$2,875"
5,DGLO,Gavin Rathbun,1033,1040,1068,"$2,875"
6,DGLO,Kyle Klein,1068,1012,1054,"$2,550"
7,DGLO,Andrew Marwede,1026,1047,1054,"$2,300"
8,DGLO,Paul McBeth,1061,1040,1026,"$2,300"
9,DGLO,Brodie Smith,1047,1026,1047,"$2,000"
10,DGLO,Simon Lizotte,1040,1047,1026,"$1,800"
11,DGLO,Kevin Jones,1040,1026,1040,"$1,650"
12,DGLO,Chris Dickerson,1033,1033,1033,"$1,417"
13,DGLO,Ezra Aderhold,1019,1026,1054,"$1,417"
14,DGLO,Gannon Buhr,1047,1026,1026,"$1,417"
15,DGLO,Albert Tamm,1047,1033,1012,"$1,100"
16,DGLO,Chris Clemons,1026,1033,1033,"$1,100"
17,DGLO,Cole Redalen,998,1012,1082,"$1,100"
18,DGLO,Drew Gibson,1033,1033,1026,"$1,100"
19,DGLO,Randon Latta,1026,1047,1019,"$1,100"
20,DGLO,Mason Ford,1033,1026,1026,$925
21,DGLO,Ty Love,1040,1026,1019,$925
22,DGLO,Chandler Fry,1040,1012,1026,$840
23,DGLO,Tim Barham,1019,1040,1019,$840
24,DGLO,Alden Harris,1033,1033,1005,$760
25,DGLO,Casey White,1033,1012,1026,$760
