,Place,Name,Round_1,Round_2,Round_3,Payout
0,1,Eagle Wynne McMahon,1090,1086,1062,"$12,000"
1,2,Paul McBeth,1083,1086,1069,"$8,000"
2,3,Kevin Jones,1048,1035,1055,"$6,000"
3,4,Niklas Anttila,1034,1064,1041,"$4,500"
4,5,Chandler Kramer,1041,1071,1034,"$3,500"
5,6,Väinö Mäkelä,1048,1021,1027,"$2,800"
6,7,Jesse Nieminen,1041,1035,1034,"$2,800"
7,8,Mikael Häme,1020,1035,1041,"$2,033"
8,9,Kristian Kuoksa,1041,992,1034,"$2,033"
9,10,Calvin Heimburg,1034,992,1055,"$2,033"
10,11,Lauri Lehtinen,1034,1057,999,"$1,600"
11,12,Ezra Aderhold,1020,1057,1020,"$1,450"
12,13,Richard Wysocki,1034,1021,1006,"$1,450"
13,14,Joona Heinänen,1020,1006,1034,"$1,275"
14,15,Knut Valen Håland,1027,992,1048,"$1,275"
15,16,Daniel Davidsson,1006,1006,1055,"$1,125"
16,17,Jakub Semerád,1034,1006,1006,"$1,125"
17,18,Simon Lizotte,1027,992,1020,"$1,125"
18,19,Brodie Smith,1034,1042,1006,"$1,125"
19,20,James Conrad,1069,992,985,$882
20,21,James Proctor,1048,1021,971,$882
21,22,Gregg Barsby,1069,999,1013,$882
22,23,Luke Humphries,1027,999,1041,$882
23,24,Eric Oakley,1027,992,1006,$882
24,25,Mathias Villota,1020,1028,1013,$882
