Place,Tournament,Name,Round_1,Round_2,Round_3,Payout
1,EURO,Eagle Wynne McMahon,1090,1086,1062,"$12,000"
2,EURO,Paul McBeth,1083,1086,1069,"$8,000"
3,EURO,Kevin Jones,1048,1035,1055,"$6,000"
4,EURO,Niklas Anttila,1034,1064,1041,"$4,500"
5,EURO,Chandler Kramer,1041,1071,1034,"$3,500"
6,EURO,Väinö Mäkelä,1048,1021,1027,"$2,800"
7,EURO,Jesse Nieminen,1041,1035,1034,"$2,800"
8,EURO,Mikael Häme,1020,1035,1041,"$2,033"
9,EURO,Kristian Kuoksa,1041,992,1034,"$2,033"
10,EURO,Calvin Heimburg,1034,992,1055,"$2,033"
11,EURO,Lauri Lehtinen,1034,1057,999,"$1,600"
12,EURO,Ezra Aderhold,1020,1057,1020,"$1,450"
13,EURO,Richard Wysocki,1034,1021,1006,"$1,450"
14,EURO,Joona Heinänen,1020,1006,1034,"$1,275"
15,EURO,Knut Valen Håland,1027,992,1048,"$1,275"
16,EURO,Daniel Davidsson,1006,1006,1055,"$1,125"
17,EURO,Jakub Semerád,1034,1006,1006,"$1,125"
18,EURO,Simon Lizotte,1027,992,1020,"$1,125"
19,EURO,Brodie Smith,1034,1042,1006,"$1,125"
20,EURO,James Conrad,1069,992,985,$882
21,EURO,James Proctor,1048,1021,971,$882
22,EURO,Gregg Barsby,1069,999,1013,$882
23,EURO,Luke Humphries,1027,999,1041,$882
24,EURO,Eric Oakley,1027,992,1006,$882
25,EURO,Mathias Villota,1020,1028,1013,$882
