,Place,Name,Round_1,Round_2,Round_3,Payout
0,1,Isaac Robinson,1065,1073,1054,"$7,000"
1,2,Chris Dickerson,1036,1073,1060,"$5,800"
2,3,Kyle Klein,1060,1028,1048,"$4,700"
3,4,Chris Clemons,1036,1056,1030,"$3,200"
4,5,Gannon Buhr,1065,1056,1000,"$3,200"
5,6,Alden Harris,1042,1033,1036,"$2,067"
6,7,Matthew Orum,1042,1050,1018,"$2,067"
7,8,Paul McBeth,1036,1005,1073,"$2,067"
8,9,Adam Hammes,1036,1045,1024,"$1,426"
9,10,Austin Hannum,1036,1028,1042,"$1,426"
10,11,James Conrad,1060,1033,1012,"$1,426"
11,12,Jeremy Koling,1031,1039,1036,"$1,426"
12,13,Andrew Presnell,1019,1039,1042,"$1,020"
13,14,Bradley Williams,1019,1045,1036,"$1,020"
14,15,Gregg Barsby,1008,1033,1054,$850
15,16,Gavin Rathbun,1025,1033,1030,$775
16,17,Richard Wysocki,1025,1028,1036,$775
17,18,Matt Thompson,1031,1028,1030,$775
18,19,Connor O'Reilly,1036,1011,1036,$700
19,20,Corey Ellis,1019,1017,1048,$700
20,21,Matt Bell,1042,1028,1012,$700
21,22,AJ Carey,1036,1028,1012,$640
22,23,Simon Lizotte,1031,1028,1018,$640
23,24,Nate Hecker,1025,1045,1000,$610
24,25,Benjamin Callaway,1008,1039,1018,$556
