,Place,Name,Round_1,Round_2,Round_3,Payout
0,1,Calvin Heimburg,1052,1066,1060,"$8,500"
1,2,Paul McBeth,1045,1066,1067,"$5,000"
2,3,Kevin Jones,1060,1045,1067,"$3,500"
3,4,Chris Dickerson,1045,1045,1067,"$2,500"
4,5,Gannon Buhr,1060,1031,1060,"$2,000"
5,6,Alden Harris,1074,1031,1031,"$1,525"
6,7,Joel Freeman,1045,1052,1038,"$1,525"
7,8,Matthew Orum,1031,1059,1045,"$1,525"
8,9,Simon Lizotte,1003,1093,1038,"$1,525"
9,10,Ezra Aderhold,1052,1031,1045,"$1,100"
10,11,Richard Wysocki,1031,1045,1052,"$1,100"
11,12,Thomas Gilbert,1052,1025,1052,"$1,100"
12,13,Lauri Lehtinen,1045,1045,1031,$925
13,14,Mason Ford,1024,1059,1038,$925
14,15,Nikko Locastro,1031,1038,1045,$820
15,16,Corey Ellis,1052,1031,1031,$820
16,17,James Conrad,1045,1045,1024,$820
17,18,Casey White,1024,1045,1038,$745
18,19,Emerson Keith,1038,1059,1010,$745
19,20,Knut Valen Håland,1038,1059,1003,$650
20,21,AJ Carey,1052,1018,1031,$650
21,22,Anthony Barela,996,1059,1045,$650
22,23,Benjamin Callaway,1031,1025,1045,$650
23,24,Jason Hebenheimer,1038,1038,1024,$650
24,25,Ezra Robinson,1024,1045,1024,$550
