,Place,Name,Round_1,Round_2,Round_3,Round_4,Payout
0,1,Drew Gibson,1016,1091,1048,1091,"$6,000"
1,2,Gannon Buhr,1062,1059,1064,1067,"$3,500"
2,3,Calvin Heimburg,1053,1067,1016,1091,"$2,700"
3,4,Kevin Jones,1053,1043,1032,1091,"$1,950"
4,5,Luke Humphries,1025,1051,1048,1091,"$1,950"
5,6,Tristan Tanner,1034,1043,1072,1059,"$1,600"
6,7,Scott Withers,1043,1027,1072,1051,"$1,400"
7,8,Adam Hammes,1053,1019,1040,1083,"$1,400"
8,9,Richard Wysocki,1053,1035,1064,1043,"$1,400"
9,10,Luke Samson,1016,1051,1048,1067,"$1,150"
10,11,Thomas Gilbert,1006,1051,1032,1091,"$1,150"
11,12,Chris Dickerson,1071,1035,1016,1059,$925
12,13,Colten Montgomery,1025,1035,1048,1067,$925
13,14,Nikko Locastro,1025,1043,1032,1075,$925
14,15,Ezra Aderhold,1006,1051,1056,1059,$925
15,16,Garrett Gurthie,1043,1027,1064,1035,$820
16,17,Linus Carlsson,1025,1067,1016,1051,$745
17,18,Chandler Fry,1034,1035,1040,1051,$745
18,19,Noah Meintsma,997,1075,1024,1059,$745
19,20,Chris Pinegar,1053,1027,1032,1051,$745
20,21,Eagle Wynne McMahon,1062,1035,1064,995,$665
21,22,Anthony Barela,1043,1067,1040,1003,$665
22,23,James Conrad,1034,1019,1032,1059,$635
23,24,Kyle Klein,988,1043,1040,1059,$605
24,25,Bo Tillman,1034,1019,1048,1035,$605
