Place,Tournament,Name,Round_1,Round_2,Round_3,Round_4,Payout
1,LVC,Drew Gibson,1016,1091,1048,1091,"$6,000"
2,LVC,Gannon Buhr,1062,1059,1064,1067,"$3,500"
3,LVC,Calvin Heimburg,1053,1067,1016,1091,"$2,700"
4,LVC,Kevin Jones,1053,1043,1032,1091,"$1,950"
5,LVC,Luke Humphries,1025,1051,1048,1091,"$1,950"
6,LVC,Tristan Tanner,1034,1043,1072,1059,"$1,600"
7,LVC,Scott Withers,1043,1027,1072,1051,"$1,400"
8,LVC,Adam Hammes,1053,1019,1040,1083,"$1,400"
9,LVC,Richard Wysocki,1053,1035,1064,1043,"$1,400"
10,LVC,Luke Samson,1016,1051,1048,1067,"$1,150"
11,LVC,Thomas Gilbert,1006,1051,1032,1091,"$1,150"
12,LVC,Chris Dickerson,1071,1035,1016,1059,$925
13,LVC,Colten Montgomery,1025,1035,1048,1067,$925
14,LVC,Nikko Locastro,1025,1043,1032,1075,$925
15,LVC,Ezra Aderhold,1006,1051,1056,1059,$925
16,LVC,Garrett Gurthie,1043,1027,1064,1035,$820
17,LVC,Linus Carlsson,1025,1067,1016,1051,$745
18,LVC,Chandler Fry,1034,1035,1040,1051,$745
19,LVC,Noah Meintsma,997,1075,1024,1059,$745
20,LVC,Chris Pinegar,1053,1027,1032,1051,$745
21,LVC,Eagle Wynne McMahon,1062,1035,1064,995,$665
22,LVC,Anthony Barela,1043,1067,1040,1003,$665
23,LVC,James Conrad,1034,1019,1032,1059,$635
24,LVC,Kyle Klein,988,1043,1040,1059,$605
25,LVC,Bo Tillman,1034,1019,1048,1035,$605
