,Place,Name,Round_1,Round_2,Round_3,Payout
0,1,Alden Harris,1049,1049,1043,"$3,500"
1,2,Gannon Buhr,1036,1055,1036,"$1,600"
2,3,Chris Clemons,1043,1036,1049,"$1,600"
3,4,Anthony Barela,1049,1024,1049,$850
4,5,Kyle Klein,1017,1049,1043,$720
5,6,Andrew Presnell,1011,1049,1043,$625
6,7,Kevin Kiefer III,1024,1049,1030,$625
7,8,Drew Gibson,1030,1049,1017,$538
8,9,Aaron Gossage,1036,1030,1030,$538
9,10,Connor O'Reilly,1062,1036,992,$487
10,11,Jason Hebenheimer,1011,1024,1055,$487
11,12,Evan Scott,1030,1030,1017,$450
12,13,Joel Freeman,1030,1024,1017,$420
13,14,Isaac Robinson,992,1055,1024,$420
14,15,Chandler Kramer,998,1005,1062,$380
15,16,Evan Smith,1024,1062,979,$380
16,17,Jeremy Koling,1017,998,1043,$345
17,18,Jake Monn,1017,1017,1024,$345
18,19,Garrett Gurthie,1036,979,1036,$315
19,20,Cole Redalen,1011,1049,992,$315
20,21,Logan Harpool,1030,1030,992,$315
21,22,Jakub Semerád,1043,1011,998,$315
22,23,Randon Latta,1036,1005,1005,$285
23,24,Bradley Williams,1005,998,1043,$285
24,25,AJ Carey,1024,1024,992,$265
