Place,Tournament,Name,Round_1,Round_2,Round_3,Payout
1,MAO,Alden Harris,1049,1049,1043,"$3,500"
2,MAO,Gannon Buhr,1036,1055,1036,"$1,600"
3,MAO,Chris Clemons,1043,1036,1049,"$1,600"
4,MAO,Anthony Barela,1049,1024,1049,$850
5,MAO,Kyle Klein,1017,1049,1043,$720
6,MAO,Andrew Presnell,1011,1049,1043,$625
7,MAO,Kevin Kiefer III,1024,1049,1030,$625
8,MAO,Drew Gibson,1030,1049,1017,$538
9,MAO,Aaron Gossage,1036,1030,1030,$538
10,MAO,Connor O'Reilly,1062,1036,992,$487
11,MAO,Jason Hebenheimer,1011,1024,1055,$487
12,MAO,Evan Scott,1030,1030,1017,$450
13,MAO,Joel Freeman,1030,1024,1017,$420
14,MAO,Isaac Robinson,992,1055,1024,$420
15,MAO,Chandler Kramer,998,1005,1062,$380
16,MAO,Evan Smith,1024,1062,979,$380
17,MAO,Jeremy Koling,1017,998,1043,$345
18,MAO,Jake Monn,1017,1017,1024,$345
19,MAO,Garrett Gurthie,1036,979,1036,$315
20,MAO,Cole Redalen,1011,1049,992,$315
21,MAO,Logan Harpool,1030,1030,992,$315
22,MAO,Jakub Semerád,1043,1011,998,$315
23,MAO,Randon Latta,1036,1005,1005,$285
24,MAO,Bradley Williams,1005,998,1043,$285
25,MAO,AJ Carey,1024,1024,992,$265
