,Place,Name,Round_1,Round_2,Round_3,Payout
0,1,Simon Lizotte,1048,1061,1061,"$9,000"
1,2,Calvin Heimburg,1043,1055,1061,"$5,300"
2,3,Aaron Gossage,1048,1043,1061,"$3,200"
3,4,Anthony Barela,1032,1073,1037,"$2,500"
4,5,Richard Wysocki,1048,1025,1061,"$1,900"
5,6,Chandler Fry,1037,1043,1055,"$1,900"
6,7,Drew Gibson,1043,1049,1037,"$1,625"
7,8,Joel Freeman,1043,1037,1043,"$1,500"
8,9,Austin Hannum,1032,1055,1031,"$1,360"
9,10,Gannon Buhr,1032,1055,1031,"$1,360"
10,11,Matthew Orum,1054,1031,1025,"$1,114"
11,12,Mason Ford,1043,1043,1025,"$1,114"
12,13,Nathan Sexton,1015,1055,1043,"$1,114"
13,14,Corey Ellis,1015,1049,1049,"$1,114"
14,15,Ezra Aderhold,1043,1043,1025,"$1,114"
15,16,Nikko Locastro,1037,1037,1031,$925
16,17,James Conrad,1032,1025,1049,$925
17,18,Connor O'Reilly,1026,1031,1043,$850
18,19,Kyle Klein,1015,1031,1049,$788
19,20,Paul McBeth,1015,1043,1037,$788
20,21,Chris Clemons,1032,1013,1049,$788
21,22,Garrett Gurthie,1005,1031,1061,$788
22,23,Väinö Mäkelä,1021,1043,1025,$700
23,24,Albert Tamm,1021,1031,1037,$700
24,25,Alden Harris,1026,1025,1037,$700
