Place,Tournament,Name,Round_1,Round_2,Round_3,Payout
1,OTB,Simon Lizotte,1048,1061,1061,"$9,000"
2,OTB,Calvin Heimburg,1043,1055,1061,"$5,300"
3,OTB,Aaron Gossage,1048,1043,1061,"$3,200"
4,OTB,Anthony Barela,1032,1073,1037,"$2,500"
5,OTB,Richard Wysocki,1048,1025,1061,"$1,900"
6,OTB,Chandler Fry,1037,1043,1055,"$1,900"
7,OTB,Drew Gibson,1043,1049,1037,"$1,625"
8,OTB,Joel Freeman,1043,1037,1043,"$1,500"
9,OTB,Austin Hannum,1032,1055,1031,"$1,360"
10,OTB,Gannon Buhr,1032,1055,1031,"$1,360"
11,OTB,Matthew Orum,1054,1031,1025,"$1,114"
12,OTB,Mason Ford,1043,1043,1025,"$1,114"
13,OTB,Nathan Sexton,1015,1055,1043,"$1,114"
14,OTB,Corey Ellis,1015,1049,1049,"$1,114"
15,OTB,Ezra Aderhold,1043,1043,1025,"$1,114"
16,OTB,Nikko Locastro,1037,1037,1031,$925
17,OTB,James Conrad,1032,1025,1049,$925
18,OTB,Connor O'Reilly,1026,1031,1043,$850
19,OTB,Kyle Klein,1015,1031,1049,$788
20,OTB,Paul McBeth,1015,1043,1037,$788
21,OTB,Chris Clemons,1032,1013,1049,$788
22,OTB,Garrett Gurthie,1005,1031,1061,$788
23,OTB,Väinö Mäkelä,1021,1043,1025,$700
24,OTB,Albert Tamm,1021,1031,1037,$700
25,OTB,Alden Harris,1026,1025,1037,$700
