,Place,Name,Round_1,Round_2,Round_3,Round_4,Payout
0,1,Simon Lizotte,1071,1052,1051,1045,"$10,000"
1,2,Garrett Gurthie,1065,1052,1045,1051,"$6,250"
2,3,Isaac Robinson,1078,1026,1038,1038,"$4,150"
3,4,Gannon Buhr,1045,1006,1058,1058,"$3,035"
4,5,Adam Hammes,1032,1039,1045,1045,"$2,035"
5,6,Albert Tamm,1052,1013,1045,1051,"$2,035"
6,7,Paul McBeth,1052,1032,1058,1018,"$2,035"
7,8,Cole Redalen,1026,1052,1051,1025,"$1,500"
8,9,Joel Freeman,1058,1058,1018,1012,"$1,400"
9,10,Nathan Sexton,1013,1026,1038,1058,"$1,300"
10,11,Ezra Aderhold,1045,986,1045,1051,"$1,250"
11,12,Aaron Gossage,1026,1026,1051,1018,"$1,150"
12,13,Calvin Heimburg,1026,1013,1058,1025,"$1,150"
13,14,Chris Clemons,1013,1032,1032,1045,"$1,150"
14,15,Andrew Presnell,1026,1026,1025,1032,"$1,025"
15,16,Corey Ellis,1039,999,1038,1032,"$1,025"
16,17,Linus Carlsson,1039,1019,1018,1025,$880
17,18,Gavin Babcock,999,1032,1038,1032,$880
18,19,Kyle Klein,1045,993,1045,1018,$880
19,20,Max Regitnig,1013,1058,1018,1012,$880
20,21,James Proctor,1045,1052,999,999,$725
21,22,Chandler Kramer,999,1026,1045,1025,$725
22,23,Kevin Jones,1006,1032,1018,1038,$725
23,24,Luke Samson,1039,1026,1038,992,$725
24,25,Scott Withers,1032,1013,1032,1018,$725
