Place,Tournament,Name,Round_1,Round_2,Round_3,Payout
1,Jonesboro,Calvin Heimburg,1052,1066,1060,"$8,500"
2,Jonesboro,Paul McBeth,1045,1066,1067,"$5,000"
3,Jonesboro,Kevin Jones,1060,1045,1067,"$3,500"
4,Jonesboro,Chris Dickerson,1045,1045,1067,"$2,500"
5,Jonesboro,Gannon Buhr,1060,1031,1060,"$2,000"
6,Jonesboro,Alden Harris,1074,1031,1031,"$1,525"
7,Jonesboro,Joel Freeman,1045,1052,1038,"$1,525"
8,Jonesboro,Matthew Orum,1031,1059,1045,"$1,525"
9,Jonesboro,Simon Lizotte,1003,1093,1038,"$1,525"
10,Jonesboro,Ezra Aderhold,1052,1031,1045,"$1,100"
11,Jonesboro,Richard Wysocki,1031,1045,1052,"$1,100"
12,Jonesboro,Thomas Gilbert,1052,1025,1052,"$1,100"
13,Jonesboro,Lauri Lehtinen,1045,1045,1031,$925
14,Jonesboro,Mason Ford,1024,1059,1038,$925
15,Jonesboro,Nikko Locastro,1031,1038,1045,$820
16,Jonesboro,Corey Ellis,1052,1031,1031,$820
17,Jonesboro,James Conrad,1045,1045,1024,$820
18,Jonesboro,Casey White,1024,1045,1038,$745
19,Jonesboro,Emerson Keith,1038,1059,1010,$745
20,Jonesboro,Knut Valen Håland,1038,1059,1003,$650
21,Jonesboro,AJ Carey,1052,1018,1031,$650
22,Jonesboro,Anthony Barela,996,1059,1045,$650
23,Jonesboro,Benjamin Callaway,1031,1025,1045,$650
24,Jonesboro,Jason Hebenheimer,1038,1038,1024,$650
25,Jonesboro,Ezra Robinson,1024,1045,1024,$550
