,Place,Name,Round_1,Round_2,Round_3,Payout
0,1,Bradley Williams,1066,1066,1048,"$8,000"
1,2,Richard Wysocki,1045,1052,1068,"$5,000"
2,3,Kyle Klein,1073,1030,1055,"$3,000"
3,4,Simon Lizotte,1045,1066,1048,"$3,000"
4,5,James Conrad,1052,1052,1034,"$2,000"
5,6,Adam Hammes,1016,1030,1081,"$1,700"
6,7,Albert Tamm,1023,1059,1048,"$1,700"
7,8,Gannon Buhr,1030,1023,1075,"$1,700"
8,9,Ezra Aderhold,1059,1016,1041,"$1,450"
9,10,Paul McBeth,1038,1030,1048,"$1,450"
10,11,Calvin Heimburg,1045,1016,1048,"$1,275"
11,12,Luke Taylor,1016,1030,1061,"$1,275"
12,13,Garett Everson,1045,1016,1041,"$1,175"
13,14,Noah Fiveash,1045,1038,1021,"$1,175"
14,15,Garrett Gurthie,1073,1023,1001,"$1,100"
15,16,Aaron Gossage,1038,1016,1034,$942
16,17,Gavin Rathbun,995,1045,1048,$942
17,18,Isaac Robinson,1066,1016,1008,$942
18,19,Kevin Jones,1009,1023,1055,$942
19,20,Connor O'Reilly,1045,1009,1034,$942
20,21,Paul Oman,1059,1016,1014,$942
21,22,Casey White,1052,1030,1001,$710
22,23,Chandler Fry,1030,1023,1028,$710
23,24,Colten Montgomery,1030,1038,1014,$710
24,25,Logan Harpool,1023,1030,1028,$710
