Place,Tournament,Name,Round_1,Round_2,Round_3,Payout
1,Preserve,Bradley Williams,1066,1066,1048,"$8,000"
2,Preserve,Richard Wysocki,1045,1052,1068,"$5,000"
3,Preserve,Kyle Klein,1073,1030,1055,"$3,000"
4,Preserve,Simon Lizotte,1045,1066,1048,"$3,000"
5,Preserve,James Conrad,1052,1052,1034,"$2,000"
6,Preserve,Adam Hammes,1016,1030,1081,"$1,700"
7,Preserve,Albert Tamm,1023,1059,1048,"$1,700"
8,Preserve,Gannon Buhr,1030,1023,1075,"$1,700"
9,Preserve,Ezra Aderhold,1059,1016,1041,"$1,450"
10,Preserve,Paul McBeth,1038,1030,1048,"$1,450"
11,Preserve,Calvin Heimburg,1045,1016,1048,"$1,275"
12,Preserve,Luke Taylor,1016,1030,1061,"$1,275"
13,Preserve,Garett Everson,1045,1016,1041,"$1,175"
14,Preserve,Noah Fiveash,1045,1038,1021,"$1,175"
15,Preserve,Garrett Gurthie,1073,1023,1001,"$1,100"
16,Preserve,Aaron Gossage,1038,1016,1034,$942
17,Preserve,Gavin Rathbun,995,1045,1048,$942
18,Preserve,Isaac Robinson,1066,1016,1008,$942
19,Preserve,Kevin Jones,1009,1023,1055,$942
20,Preserve,Connor O'Reilly,1045,1009,1034,$942
21,Preserve,Paul Oman,1059,1016,1014,$942
22,Preserve,Casey White,1052,1030,1001,$710
23,Preserve,Chandler Fry,1030,1023,1028,$710
24,Preserve,Colten Montgomery,1030,1038,1014,$710
25,Preserve,Logan Harpool,1023,1030,1028,$710
