,Place,Name,Round_1,Round_2,Round_3,Payout
0,1,Richard Wysocki,1060,1081,1074,"$8,000"
1,2,Calvin Heimburg,1074,1081,1053,"$5,000"
2,3,Gregg Barsby,1067,1053,1067,"$3,270"
3,4,James Conrad,1074,1046,1039,"$2,251"
4,5,Joel Freeman,1060,1032,1067,"$2,251"
5,6,Jeremy Koling,1053,1046,1032,"$1,750"
6,7,Gannon Buhr,1053,1018,1053,"$1,600"
7,8,Chris Dickerson,1053,1046,1018,"$1,317"
8,9,Emerson Keith,1067,1039,1011,"$1,317"
9,10,Paul McBeth,1088,1004,1025,"$1,317"
10,11,G.T. Hancock,1053,1039,1018,"$1,050"
11,12,John Willis II,1018,1018,1074,"$1,050"
12,13,Casey White,1046,1025,1032,$925
13,14,Nikko Locastro,1032,1039,1032,$925
14,15,Alex Russell,1046,1032,1018,$788
15,16,Connor O'Reilly,1018,1053,1025,$788
16,17,Corey Ellis,1032,1046,1018,$788
17,18,Matthew Orum,1032,1018,1046,$788
18,19,Niklas Anttila,1039,1053,1004,$788
19,20,Alden Harris,1053,1025,1011,$675
20,21,Andrew Marwede,1032,1018,1039,$675
21,22,Mason Ford,1039,982,1067,$675
22,23,Terry Rothlisberger,1032,1039,1011,$613
23,24,Kevin Jones,1004,1046,1032,$613
24,25,Cale Leiviska,1025,1011,1039,$512
