Place,Tournament,Name,Round_1,Round_2,Round_3,Payout
1,TXST,Richard Wysocki,1060,1081,1074,"$8,000"
2,TXST,Calvin Heimburg,1074,1081,1053,"$5,000"
3,TXST,Gregg Barsby,1067,1053,1067,"$3,270"
4,TXST,James Conrad,1074,1046,1039,"$2,251"
5,TXST,Joel Freeman,1060,1032,1067,"$2,251"
6,TXST,Jeremy Koling,1053,1046,1032,"$1,750"
7,TXST,Gannon Buhr,1053,1018,1053,"$1,600"
8,TXST,Chris Dickerson,1053,1046,1018,"$1,317"
9,TXST,Emerson Keith,1067,1039,1011,"$1,317"
10,TXST,Paul McBeth,1088,1004,1025,"$1,317"
11,TXST,G.T. Hancock,1053,1039,1018,"$1,050"
12,TXST,John Willis II,1018,1018,1074,"$1,050"
13,TXST,Casey White,1046,1025,1032,$925
14,TXST,Nikko Locastro,1032,1039,1032,$925
15,TXST,Alex Russell,1046,1032,1018,$788
16,TXST,Connor O'Reilly,1018,1053,1025,$788
17,TXST,Corey Ellis,1032,1046,1018,$788
18,TXST,Matthew Orum,1032,1018,1046,$788
19,TXST,Niklas Anttila,1039,1053,1004,$788
20,TXST,Alden Harris,1053,1025,1011,$675
21,TXST,Andrew Marwede,1032,1018,1039,$675
22,TXST,Mason Ford,1039,982,1067,$675
23,TXST,Terry Rothlisberger,1032,1039,1011,$613
24,TXST,Kevin Jones,1004,1046,1032,$613
25,TXST,Cale Leiviska,1025,1011,1039,$512
