,Place,Name,Round_1,Round_2,Round_3,Payout
0,1,Paul McBeth,1075,1062,1040,"$7,500"
1,2,Luke Humphries,1075,1055,1026,"$4,200"
2,3,Joel Freeman,1055,1040,1040,"$2,350"
3,4,Chris Clemons,1036,1055,1047,"$2,350"
4,5,Thomas Gilbert,1036,1026,1069,"$1,520"
5,6,Aaron Gossage,1024,1047,1062,"$1,520"
6,7,Cale Leiviska,1036,1062,1033,"$1,520"
7,8,Chris Dickerson,1049,1077,1004,"$1,520"
8,9,Isaac Robinson,1049,1047,1033,"$1,520"
9,10,Alex Russell,1036,1047,1040,"$1,150"
10,11,Nikko Locastro,1049,1040,1033,"$1,150"
11,12,James Conrad,1043,1040,1033,$950
12,13,Richard Wysocki,1055,1033,1026,$950
13,14,Charles Moore,1036,1033,1047,$950
14,15,Mason Ford,1055,1026,1026,$850
15,16,Kyle Klein,1017,1018,1069,$760
16,17,Lauri Lehtinen,1011,1047,1047,$760
17,18,Matt Bell,1036,1062,1004,$760
18,19,Bradley Williams,1049,1047,1004,$760
19,20,Calvin Heimburg,1024,1055,1026,$760
20,21,Linus Carlsson,1017,1062,1018,$638
21,22,Andrew Fish,1062,1018,1011,$638
22,23,Kevin Jones,1024,1026,1047,$638
23,24,Clay Edwards,1036,1033,1026,$638
24,25,Gannon Buhr,1055,1011,1018,$560
