Place,Tournament,Name,Round_1,Round_2,Round_3,Payout
1,WACO,Paul McBeth,1075,1062,1040,"$7,500"
2,WACO,Luke Humphries,1075,1055,1026,"$4,200"
3,WACO,Joel Freeman,1055,1040,1040,"$2,350"
4,WACO,Chris Clemons,1036,1055,1047,"$2,350"
5,WACO,Thomas Gilbert,1036,1026,1069,"$1,520"
6,WACO,Aaron Gossage,1024,1047,1062,"$1,520"
7,WACO,Cale Leiviska,1036,1062,1033,"$1,520"
8,WACO,Chris Dickerson,1049,1077,1004,"$1,520"
9,WACO,Isaac Robinson,1049,1047,1033,"$1,520"
10,WACO,Alex Russell,1036,1047,1040,"$1,150"
11,WACO,Nikko Locastro,1049,1040,1033,"$1,150"
12,WACO,James Conrad,1043,1040,1033,$950
13,WACO,Richard Wysocki,1055,1033,1026,$950
14,WACO,Charles Moore,1036,1033,1047,$950
15,WACO,Mason Ford,1055,1026,1026,$850
16,WACO,Kyle Klein,1017,1018,1069,$760
17,WACO,Lauri Lehtinen,1011,1047,1047,$760
18,WACO,Matt Bell,1036,1062,1004,$760
19,WACO,Bradley Williams,1049,1047,1004,$760
20,WACO,Calvin Heimburg,1024,1055,1026,$760
21,WACO,Linus Carlsson,1017,1062,1018,$638
22,WACO,Andrew Fish,1062,1018,1011,$638
23,WACO,Kevin Jones,1024,1026,1047,$638
24,WACO,Clay Edwards,1036,1033,1026,$638
25,WACO,Gannon Buhr,1055,1011,1018,$560
